pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,18,0,72,0,,,,,186.4186121999519,,186.39368459989782,186.4186121999519,187.41885269992054,187.41885269992054,187.41885269992054,187.41885269992054,187.45232789998408,188.41838859999552,188.41838859999552,189.02213569998275,x,1,0.5862984000705183,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,18,1,73,1,,,,,189.05180869996548,,189.02695339999627,189.05180869996548,190.05145279993303,190.05145279993303,190.05145279993303,190.05145279993303,190.08517789992038,191.05141809990164,191.05141809990164,191.68796369992197,v,1,0.6129953999770805,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,18,2,74,2,,,,,191.72330209997017,,191.6927735999925,191.72330209997017,192.71826909994707,192.71826909994707,192.71826909994707,192.71826909994707,192.7512604999356,193.71773589996155,193.71773589996155,194.22065699996892,c,1,0.4786064999643713,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,18,3,75,3,,,,,194.25133259990253,,194.2247244999744,194.25133259990253,195.25093390000984,195.25093390000984,195.25093390000984,195.25093390000984,195.28454429993872,196.25059209996834,196.25059209996834,196.85518039995804,z,1,0.5867684999248013,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,19,0,76,0,,,,,196.8840897999471,,196.86052129999734,196.8840897999471,197.88379260001238,197.88379260001238,197.88379260001238,197.88379260001238,197.91766019992065,198.88379069999792,198.88379069999792,199.5537270999048,x,1,0.6392243000445887,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,19,1,77,1,,,,,199.5837457999587,,199.55744839995168,199.5837457999587,200.5839157999726,200.5839157999726,200.5839157999726,200.5839157999726,200.61673919996247,201.58372499991674,201.58372499991674,202.40312779997475,v,1,0.7921086000278592,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,19,2,78,2,,,,,202.43479540001135,,202.40681319998112,202.43479540001135,203.4336028000107,203.4336028000107,203.4336028000107,203.4336028000107,203.46635299990885,204.4337252000114,204.4337252000114,204.9359747999115,c,1,0.4707567000295967,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,19,3,79,3,,,,,204.96662359999027,,204.93966569995973,204.96662359999027,205.9668115999084,205.9668115999084,205.9668115999084,205.9668115999084,205.99988219991792,206.96639359998517,206.96639359998517,207.6691189999692,z,1,0.684841200010851,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,20,0,80,0,,,,,207.69918009999674,,207.67302180000115,207.69918009999674,208.7166832999792,208.7166832999792,208.7166832999792,208.7166832999792,208.7166832999792,209.71708319999743,209.71708319999743,210.2531289999606,x,1,0.5091010999167338,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,20,1,81,1,,,,,210.28278329991736,,210.25790929992218,210.28278329991736,211.28306049993262,211.28306049993262,211.28306049993262,211.28306049993262,211.31612669990864,212.28236889990512,212.28236889990512,212.5860996999545,v,1,0.2893472999567166,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
